Status,Furnished_status,neworold,type_of_building,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,price
Ready to Move,Furnished,Resale,Flat,1100,28.6288025,77.0958556,2,2,,1,,8500000
Ready to Move,,Resale,Flat,800,28.38762,77.06237,2,2,,,,4320000
Ready to Move,,Resale,Flat,1180,28.65493,77.350989,2,2,2,1,2,6710000
Ready to Move,Semi-Furnished,Resale,Flat,1935,28.45451736,77.08187103,3,4,2,2,1,16900000
Ready to Move,,Resale,Flat,1800,28.576661,77.339673,3,3,2,1,,12500000
Ready to Move,Unfurnished,Resale,Flat,1200,28.57763481,77.39510345,3,2,3,,,5000000
Ready to Move,,Resale,Flat,1250,28.564363,77.24171,2,2,2,2,0,12000000
Ready to Move,Semi-Furnished,Resale,Flat,770,28.49746704,77.02709961,2,2,1,1,1,2700000
Ready to Move,Furnished,Resale,Flat,1200,28.6017251,77.3178069,3,2,,,,11000000
Ready to Move,Furnished,Resale,Flat,2500,28.51766396,77.07933044,5,5,,3,,14000000
Ready to Move,,Resale,Flat,1675,28.446568,76.968477,3,3,,,,7500000
Ready to Move,,Resale,Flat,2520,28.406684,76.952289,4,3,3,,,12000000
Ready to Move,,Resale,Flat,1000,28.503955,77.384451,2,2,2,2,2,4100000
Ready to Move,,New Property,Flat,1310,28.646836,77.508238,2,3,2,1,0,3790000
Ready to Move,Semi-Furnished,Resale,Flat,1065,28.63350296,77.43159485,2,2,3,2,3,5200000
Ready to Move,,Resale,Flat,1830,28.385432,77.017122,3,3,3,1,2,12500000
,Semi-Furnished,New Property,Flat,2268,28.41492081,77.03590393,3,3,2,,,15200000
Ready to Move,,Resale,Individual House,1821,28.37561513,76.95761609,3,3,3,,,10500000
Ready to Move,,Resale,Flat,1115,28.309616,77.55859,2,2,,1,2,4000000
Ready to Move,,Resale,Individual House,825,28.505584,77.410762,2,2,,,,3330000
Ready to Move,Semi-Furnished,Resale,Flat,3500,28.63601494,77.43365479,4,3,2,1,1,17000000
Ready to Move,Semi-Furnished,Resale,Flat,750,28.4826489,77.1600563,2,2,2,1,1,3600000
Ready to Move,Unfurnished,New Property,Flat,1250,28.68176651,77.36365509,3,2,1,,,4500000
Ready to Move,,Resale,Flat,1375,28.616204,77.422256,3,3,3,,,5500000
Ready to Move,,Resale,Individual House,2797,28.400064,77.0959513,4,4,,,,24500000
,Unfurnished,Resale,Flat,9000,28.45846939,77.10864258,10,10,10,10,,45000000
Ready to Move,,Resale,Flat,1470,28.663705,77.470854,3,2,3,,,5000000
Ready to Move,Semi-Furnished,Resale,Flat,3150,28.40966797,77.33113861,3,3,2,,,12500000
Ready to Move,,Resale,Flat,1530,28.655782,77.3527833,3,2,3,1,,7400000
Ready to Move,Furnished,Resale,Flat,1200,28.69149399,77.40766907,3,2,,,,4100000
Ready to Move,,Resale,Flat,1750,28.5593993,77.0596789,3,2,3,2,2,16000000
Ready to Move,,Resale,Individual House,1050,28.70019204,77.427474,2,2,2,,,3250000
Ready to Move,,Resale,Flat,1100,28.4088605,77.314687,2,2,2,1,,5500000
Ready to Move,,Resale,Individual House,1815,28.455376,76.97621181,3,3,3,1,,9000000
Ready to Move,Unfurnished,Resale,Individual House,1600,28.66605949,77.15013123,3,2,3,1,4,17500000
Ready to Move,Semi-Furnished,Resale,Flat,1650,28.48146057,77.31151581,4,3,2,,,9900000
Ready to Move,Semi-Furnished,Resale,Flat,1460,28.63822365,77.3663559,3,3,3,1,3,8500000
Ready to Move,Semi-Furnished,New Property,Flat,1150,28.64673996,77.37094879,3,2,2,1,1,5890000
Ready to Move,,Resale,Flat,1800,28.646093,77.384003,3,2,2,,,9000000
Ready to Move,,Resale,Flat,1632,28.666059,77.150134,3,3,3,1,3,24000000
Ready to Move,,Resale,Flat,1850,28.548787,77.346032,3,4,4,,,12000000
Ready to Move,,Resale,Flat,1390,28.56118696,77.3865692,3,3,3,,,6400000
Ready to Move,,New Property,Individual House,3699,28.401255,77.053437,4,4,3,2,3,33000000
Ready to Move,,Resale,Individual House,1908,28.4913752,77.2908548,4,3,1,,,10000000
Ready to Move,,Resale,Flat,1550,28.57844059,77.38140753,3,2,3,1,3,8500000
Ready to Move,,Resale,Individual House,1480,28.495486,77.25219,3,3,,,,7400000
Ready to Move,Unfurnished,Resale,Flat,968,28.6493479,77.3696259,3,2,1,,,4300000
,Unfurnished,Resale,Flat,1150,28.4992485,77.42980194,2,2,,,,5800000
,Unfurnished,Resale,Flat,1750,28.283682,77.047379,3,3,,,,9000000
Ready to Move,Unfurnished,New Property,Flat,800,28.63477325,77.04909515,3,2,1,,,3500000
Ready to Move,,Resale,Flat,1700,28.57751279,77.04253534,2,2,3,1,2,12500000
Ready to Move,,Resale,Flat,1210,28.5604873,77.384084,2,3,3,1,3,6200000
Ready to Move,Semi-Furnished,Resale,Flat,540,28.49748611,77.02713013,2,2,1,1,1,2550000
Ready to Move,Furnished,Resale,Flat,1100,28.6761322,77.28523254,2,2,1,,,6000000
Ready to Move,,Resale,Flat,1610,28.513139,77.025952,3,3,3,,,11000000
Ready to Move,,Resale,Individual House,2245,28.64859324,77.37943921,4,3,,,,11000000
Ready to Move,Furnished,New Property,Flat,900,28.52402496,77.21276093,3,2,1,,1,4100000
Ready to Move,,Resale,Flat,1490,28.37423557,76.95241631,3,3,3,,,9300000
Ready to Move,Semi-Furnished,Resale,Flat,1250,28.68654251,77.29959869,3,2,2,2,1,7500000
Ready to Move,,New Property,Flat,1130,28.49629327,77.40851995,3,2,2,,2,4500000
Ready to Move,,New Property,Individual House,1625,28.42491581,77.486721,3,2,3,,,9400000
Ready to Move,Unfurnished,Resale,Flat,900,28.6485885,77.3533389,2,2,1,,,3400000
Ready to Move,Semi-Furnished,Resale,Flat,1008,28.68657303,77.29962921,3,2,1,2,1,7000000
Ready to Move,Unfurnished,Resale,Flat,1900,28.54366493,77.25489807,3,3,2,,,22500000
Ready to Move,,Resale,Flat,2428,28.42343946,77.06910666,3,4,3,2,3,20000000
Ready to Move,,Resale,Individual House,1250,28.42451064,77.10132459,3,2,2,2,0,9700000
Ready to Move,Furnished,Resale,Flat,2800,28.43034935,77.29561615,4,4,2,7,1,13500000
Ready to Move,Semi-Furnished,Resale,Flat,800,28.539814,77.21868134,2,2,,,,4500000
Ready to Move,Unfurnished,Resale,Flat,608,28.63474274,77.04910278,2,2,1,,,2650000
Ready to Move,,Resale,Flat,965,28.728555,77.337353,2,2,,,,2900000
Ready to Move,,Resale,Flat,1256,28.58986171,77.40343376,2,2,1,,,7000000
Ready to Move,,Resale,Flat,7200,28.44073838,77.10126474,5,6,4,3,2,79000000
Ready to Move,,Resale,Flat,1341,28.682107,77.4465784,3,2,,,,6040000
,Unfurnished,Resale,Individual House,2835,28.470149,77.535673,4,5,4,2,,22000000
Ready to Move,Semi-Furnished,Resale,Flat,630,28.68641663,77.29958344,2,2,1,1,,3000000
Ready to Move,,Resale,Flat,2985,28.441368,77.098124,3,3,2,,,23500000
Ready to Move,Semi-Furnished,Resale,Flat,2550,28.5750243,77.3803,4,4,5,2,,15000000
Ready to Move,,Resale,Flat,1510,28.3930662,77.022442,3,2,4,1,2,11000000
Ready to Move,Semi-Furnished,Resale,Flat,1000,28.6212883,77.05307007,3,2,1,,,4500000
Ready to Move,,Resale,Flat,1205,28.453581,77.556221,2,2,2,,,5000000
Ready to Move,,Resale,Flat,1010,28.619028,77.425972,2,2,3,1,4,4000000
Ready to Move,Semi-Furnished,Resale,Flat,950,28.63475037,77.0491333,3,2,1,1,1,6200000
,Unfurnished,Resale,Flat,1765,28.4460523,76.9772858,3,3,2,1,,9800000
Ready to Move,Semi-Furnished,Resale,Flat,1455,28.5684777,77.3775,3,3,4,1,,6600000
Ready to Move,Semi-Furnished,Resale,Flat,1000,28.615032,77.0290715,3,2,,,,5500000
Ready to Move,Semi-Furnished,Resale,Flat,1750,28.4215541,77.0780609,3,4,2,10,1,14000000
Ready to Move,Semi-Furnished,Resale,Flat,1900,28.42443657,77.0982132,3,3,,,,15000000
Ready to Move,Furnished,Resale,Flat,1935,28.64231873,77.4211731,3,3,2,,1,13200000
Ready to Move,Semi-Furnished,Resale,Individual House,800,28.63578224,77.43241882,2,2,1,,,2800000
Ready to Move,Unfurnished,Resale,Flat,1800,28.47489357,77.00980377,3,3,1,,,14000000
Ready to Move,Unfurnished,Resale,Flat,850,28.6493479,77.3696259,2,2,,,,3400000
Ready to Move,,Resale,Flat,1478,28.386791,77.049466,2,2,3,,,11500000
Ready to Move,Unfurnished,New Property,Flat,900,28.60042,77.44546509,2,2,1,,,3300000
Ready to Move,Furnished,Resale,Flat,1234,28.43831635,77.51483154,2,2,,,,6000000
Ready to Move,,Resale,Individual House,1507,28.517742,77.529334,2,3,,,,5600000
Ready to Move,Unfurnished,Resale,Flat,1365,28.58907509,77.32030487,3,3,2,,,5800000
Ready to Move,Unfurnished,Resale,Flat,615,28.6738471,77.4829531,2,2,1,,,2100000
Ready to Move,,Resale,Individual House,1140,28.5575028,77.38646497,2,2,3,1,3,5200000
Ready to Move,,Resale,Individual House,1325,28.39343,76.99731,2,2,2,702,4,8000000
Ready to Move,,Resale,Flat,997,28.425657,77.04300339,2,2,2,,,7650000
Ready to Move,Semi-Furnished,Resale,Flat,1100,28.49742317,77.02734375,3,2,1,1,1,5500000
Ready to Move,,Resale,Individual House,1405,28.4570313,77.514304,3,2,3,2,2,5400000
Ready to Move,,Resale,Flat,1775,28.588371,77.400313,3,3,3,2,2,8500000
Ready to Move,Semi-Furnished,Resale,Flat,1000,28.68641853,77.29956055,3,3,,,,6000000
Ready to Move,Semi-Furnished,New Property,Flat,1658,28.68220329,77.18806458,3,2,1,2,1,17500000
Ready to Move,,Resale,Flat,630,28.591666,77.484749,2,2,1,1,,2450000
Ready to Move,,Resale,Flat,1742,28.641756,77.37885936,3,2,1,,2,7300000
Ready to Move,,Resale,Individual House,1650,28.56213384,77.05678938,3,2,3,,,14500000
Ready to Move,,Resale,Flat,950,28.55075433,77.36168745,2,2,3,,,4800000
Ready to Move,Semi-Furnished,Resale,Flat,800,28.641779,77.3502969,2,2,,,,4200000
Ready to Move,,New Property,Flat,1472,28.39522652,77.05988662,2,3,3,1,3,12800000
Ready to Move,,New Property,Flat,2250,28.5994675,77.0349205,4,4,2,,,27500000
Ready to Move,,Resale,Flat,1850,28.548787,77.346032,3,4,,2,,12000000
Ready to Move,,Resale,Individual House,900,28.45847235,77.05255654,2,2,1,,,7500000
Ready to Move,Furnished,Resale,Flat,1050,28.63367653,77.43097687,2,2,,2,,3500000
Ready to Move,Unfurnished,Resale,Individual House,720,28.52319527,77.21430969,2,2,1,,,3850000
Ready to Move,,Resale,Flat,1550,28.63544909,77.32381434,3,2,2,1,3,8000000
Ready to Move,,Resale,Flat,1300,28.46267033,77.55830252,3,3,,,,4350000
Ready to Move,,Resale,Individual House,1536,28.514908,76.974388,2,2,4,1,,9000000
Ready to Move,Unfurnished,Resale,Flat,1285,28.605958,77.444512,2,2,4,,,5000000
Ready to Move,Semi-Furnished,Resale,Individual House,1350,28.34699821,77.32400513,3,2,2,2,,5800000
Ready to Move,Semi-Furnished,Resale,Flat,1335,28.5661101,77.4406099,2,2,,,,4200000
Ready to Move,Semi-Furnished,Resale,Flat,1000,28.454517,77.081868,2,2,2,2,0,8900000
Ready to Move,,New Property,Individual House,1811,28.45251307,76.97627035,3,3,4,,,9500000
Ready to Move,,Resale,Flat,1175,28.617567,77.426765,3,2,3,,3,4600000
Ready to Move,,Resale,Flat,1700,28.5962,77.067013,3,3,,,,20000000
Ready to Move,,Resale,Flat,554,28.51348116,76.971479,2,2,,1,,2900000
Ready to Move,,Resale,Flat,1500,28.621054,77.0905294,4,3,,,,13500000
,Unfurnished,Resale,Flat,1250,28.41891989,77.35557595,2,2,,,,4000000
Ready to Move,Semi-Furnished,Resale,Flat,2200,28.63664055,77.12469482,6,5,2,1,,28000000
Ready to Move,,Resale,Flat,850,28.645341,77.35492932,2,2,1,1,0,4000000
Ready to Move,,Resale,Flat,1000,28.60052361,77.31160783,2,2,,,,8000000
Ready to Move,,Resale,Flat,1400,28.72650572,77.08336654,3,2,2,,,12900000
Ready to Move,,Resale,Flat,1325,28.56854169,77.37929993,3,2,3,,,9000000
Ready to Move,,Resale,Flat,840,28.683082,77.50921,2,2,2,1,2,3200000
Ready to Move,,New Property,Flat,1065,28.4042306,77.3559561,3,2,3,,,4100000
,Semi-Furnished,Resale,Flat,1585,28.605958,77.444512,3,3,3,,,7000000
